Island,Observer,spec,Distance,Type,Mo,Day,Year,Transect,Station,Hour,CanopyCover,Rain,Wind,DetC
2,JE,COKI,180,1,4,5,82,1,1,931,50,0,3,1
2,JE,COKI,180,1,4,5,82,1,3,904,50,0,3,1
2,JE,COKI,110,1,4,5,82,1,11,714,50,0,3,1
2,JE,COKI,140,1,4,5,82,1,11,714,50,0,3,1
2,JE,COKI,140,1,4,7,82,2,1,833,50,0,1,1
2,JE,COKI,130,1,4,7,82,2,1,833,50,0,1,1
2,JE,COKI,41,1,4,7,82,2,1,833,50,0,1,1
2,JE,COKI,180,1,4,6,82,2,19,838,90,0,2,1
2,JE,COKI,180,1,4,6,82,2,21,811,90,0,2,1
2,JE,COKI,100,1,4,6,82,2,23,746,90,0,2,1
2,JE,COKI,120,1,4,6,82,2,23,746,90,0,2,1
2,JE,COKI,150,1,4,6,82,2,23,746,90,0,2,1
2,JE,COKI,180,1,4,6,82,2,28,642,90,0,2,1
2,JE,COKI,100,1,4,6,82,2,28,642,90,0,2,1
2,JE,COKI,200,1,4,6,82,2,28,642,90,0,2,1
2,JE,COKI,110,1,4,6,82,2,29,630,90,0,2,1
2,JE,COKI,130,1,4,6,82,2,29,630,90,0,2,1
2,JE,COKI,120,1,4,6,82,2,30,618,90,0,2,1
2,JE,COKI,70,1,3,29,82,5,10,825,30,0,0,1
2,JE,COKI,250,1,3,29,82,5,17,1016,50,0,0,1
2,JE,COKI,12,1,4,14,82,7,2,813,50,0,2,1
2,JE,COKI,15,1,4,14,82,7,2,813,50,0,2,1
2,JE,COKI,200,1,4,14,82,7,2,813,50,0,2,1
2,JE,COKI,250,1,4,9,82,7,11,646,50,0,3,1
2,JE,COKI,150,1,4,9,82,7,12,709,50,0,3,1
2,JE,COKI,200,1,4,9,82,7,12,709,50,0,3,1
2,JE,COKI,90,1,4,9,82,7,12,709,50,0,3,1
2,JE,COKI,80,1,4,9,82,7,12,709,50,0,3,1
2,JE,COKI,400,1,4,12,82,8,4,710,0,0,2,1
2,JE,COKI,180,1,4,12,82,8,5,729,0,0,2,1
2,JE,COKI,130,1,4,12,82,8,7,759,0,0,2,1
2,JE,COKI,90,1,4,12,82,8,7,759,0,0,2,1
2,JE,COKI,300,1,4,12,82,8,7,759,0,0,2,1
2,JE,COKI,50,1,4,12,82,8,7,759,0,0,2,1
2,JE,COKI,120,1,4,12,82,8,8,816,10,0,2,1
2,JE,COKI,200,1,4,12,82,8,8,816,10,0,2,1
2,JE,COKI,90,1,4,12,82,8,9,830,10,0,2,1
2,JE,COKI,80,1,4,12,82,8,9,830,10,0,2,1
2,JE,COKI,200,1,4,12,82,8,9,830,10,0,2,1
2,JE,COKI,250,1,4,12,82,8,10,846,10,0,2,1
2,JE,COKI,200,1,4,12,82,8,10,846,10,0,2,1
2,JE,COKI,300,1,4,12,82,8,11,901,10,0,2,1
2,JE,COKI,90,1,4,12,82,8,11,901,10,0,2,1
2,JE,COKI,220,1,4,12,82,8,11,901,10,0,2,1
2,JE,COKI,200,1,4,12,82,8,11,901,10,0,2,1
2,JE,COKI,80,1,4,12,82,8,12,919,10,0,2,1
2,JE,COKI,110,1,4,12,82,8,12,919,10,0,2,1
2,JE,COKI,400,1,4,12,82,8,13,939,10,0,2,1
2,JE,COKI,120,1,4,17,82,14,4,743,20,0,2,1
2,JE,COKI,200,1,4,17,82,14,5,754,20,0,2,1
2,JE,COKI,250,1,4,17,82,14,6,805,20,0,2,1
2,JE,COKI,200,1,4,17,82,14,6,805,20,0,2,1
2,JE,COKI,110,1,4,17,82,14,7,817,20,0,2,1
2,JE,COKI,90,1,4,17,82,14,7,817,20,0,2,1
2,JE,COKI,250,1,4,17,82,14,9,841,20,0,2,1
2,JE,COKI,250,1,4,17,82,14,10,853,20,0,2,1
2,JE,COKI,180,1,4,5,82,1,8,757,50,0,3,2
2,JE,COKI,180,1,4,5,82,1,12,700,50,0,3,2
2,JE,COKI,250,1,4,7,82,2,3,806,50,0,1,2
2,JE,COKI,150,1,4,6,82,2,20,825,90,0,2,2
2,JE,COKI,80,1,3,29,82,5,1,620,10,0,0,2
2,JE,COKI,90,1,3,29,82,5,1,620,10,0,0,2
2,JE,COKI,90,1,3,29,82,5,2,635,10,0,0,2
2,JE,COKI,9,2,3,29,82,5,2,635,10,0,0,2
2,JE,COKI,22,4,3,29,82,5,2,635,10,0,0,2
2,JE,COKI,150,1,3,29,82,5,3,649,10,0,0,2
2,JE,COKI,39,1,3,29,82,5,3,649,10,0,0,2
2,JE,COKI,39,1,3,29,82,5,3,649,10,0,0,2
2,JE,COKI,130,1,3,29,82,5,8,749,20,0,0,2
2,JE,COKI,110,1,3,29,82,5,8,749,20,0,0,2
2,JE,COKI,55,1,3,29,82,5,9,808,30,0,0,2
2,JE,COKI,110,1,3,29,82,5,9,808,30,0,0,2
2,JE,COKI,90,1,3,29,82,5,15,948,40,0,0,2
2,JE,COKI,130,1,4,14,82,7,4,744,40,0,2,2
2,JE,COKI,150,1,4,14,82,7,4,744,40,0,2,2
2,JE,COKI,350,1,4,14,82,7,6,715,40,0,2,2
2,JE,COKI,46,4,4,14,82,7,7,700,40,0,2,2
2,JE,COKI,60,4,4,14,82,7,7,700,40,0,2,2
2,JE,COKI,120,1,4,14,82,7,7,700,40,0,2,2
2,JE,COKI,80,1,4,14,82,7,7,700,40,0,2,2
2,JE,COKI,200,1,4,9,82,7,15,824,40,0,3,2
2,JE,COKI,190,1,4,9,82,7,18,947,30,0,3,2
2,JE,COKI,400,1,4,9,82,7,19,1006,30,0,3,2
2,JE,COKI,200,1,4,9,82,7,19,1006,30,0,3,2
2,JE,COKI,400,1,4,12,82,8,2,627,0,0,2,2
2,JE,COKI,500,1,4,12,82,8,3,648,0,0,2,2
2,JE,COKI,90,1,4,12,82,8,6,744,0,0,2,2
2,JE,COKI,180,1,4,12,82,8,6,744,0,0,2,2
2,JE,COKI,300,1,4,17,82,14,1,707,20,0,2,2
2,JE,COKI,60,1,4,17,82,14,1,707,20,0,2,2
2,JE,COKI,80,1,4,17,82,14,1,707,20,0,2,2
2,JE,COKI,190,1,4,17,82,14,2,718,20,0,2,2
2,JE,COKI,200,1,4,17,82,14,2,718,20,0,2,2
2,JE,COKI,90,1,4,17,82,14,2,718,20,0,2,2
2,JE,COKI,130,1,3,29,82,5,7,740,20,0,0,3
2,JE,COKI,120,1,3,29,82,5,7,740,20,0,0,3
2,JE,COKI,50,1,3,29,82,5,7,740,20,0,0,3
2,JE,COKI,80,1,3,29,82,5,7,740,20,0,0,3
2,JE,COKI,90,1,3,29,82,5,11,838,30,0,0,3
2,JE,COKI,33,1,3,29,82,5,11,838,30,0,0,3
2,JE,COKI,38,1,3,29,82,5,11,838,30,0,0,3
2,JE,COKI,225,1,3,29,82,5,11,838,30,0,0,3
2,JE,COKI,120,1,4,9,82,7,14,759,40,0,3,3
2,JE,COKI,350,1,4,9,82,7,14,759,40,0,3,3
2,JE,COKI,200,1,4,12,82,8,1,610,0,0,2,3
2,JE,COKI,180,1,4,12,82,8,1,610,0,0,2,3
2,JE,COKI,180,1,4,12,82,8,1,610,0,0,2,3
2,JE,COKI,120,1,4,12,82,8,14,953,20,0,2,3
