"Island","Observer","spec","Distance","Type","Mo","Day","Year","Transect","Station","Hour","CanopyCover","Rain","Wind","DetC","Date","Time","Stat_ID","Type_lbl","Island_Name"
2,"JE","COKI",70,1,3,29,82,5,10,825,30,0,0,1,1982-03-29,0,510,"Heard","Rota"
2,"JE","COKI",250,1,3,29,82,5,17,1016,50,0,0,1,1982-03-29,0,517,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,1,620,10,0,0,2,1982-03-29,0,501,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"Heard","Rota"
2,"JE","COKI",9,2,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"Seen","Rota"
2,"JE","COKI",22,4,3,29,82,5,2,635,10,0,0,2,1982-03-29,0,502,"H&S","Rota"
2,"JE","COKI",150,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",39,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",39,1,3,29,82,5,3,649,10,0,0,2,1982-03-29,0,503,"Heard","Rota"
2,"JE","COKI",130,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,8,749,20,0,0,2,1982-03-29,0,508,"Heard","Rota"
2,"JE","COKI",55,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,9,808,30,0,0,2,1982-03-29,0,509,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,15,948,40,0,0,2,1982-03-29,0,515,"Heard","Rota"
2,"JE","COKI",130,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",120,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",50,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,7,740,20,0,0,3,1982-03-29,0,507,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",33,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",38,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",225,1,3,29,82,5,11,838,30,0,0,3,1982-03-29,0,511,"Heard","Rota"
2,"JE","COKI",36,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",10,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",10,4,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"H&S","Rota"
2,"JE","COKI",110,1,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"Heard","Rota"
2,"JE","COKI",150,1,3,29,82,5,5,715,20,0,0,4,1982-03-29,0,505,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",150,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",110,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",90,1,3,29,82,5,6,727,20,0,0,4,1982-03-29,0,506,"Heard","Rota"
2,"JE","COKI",140,1,3,29,82,5,14,932,40,0,0,4,1982-03-29,0,514,"Heard","Rota"
2,"JE","COKI",80,1,3,29,82,5,14,932,40,0,0,4,1982-03-29,0,514,"Heard","Rota"
2,"JE","COKI",200,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"JE","COKI",70,4,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"H&S","Rota"
2,"JE","COKI",110,4,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"H&S","Rota"
2,"JE","COKI",200,1,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Heard","Rota"
2,"JE","COKI",60,2,3,29,82,5,4,701,20,0,0,5,1982-03-29,0,504,"Seen","Rota"
2,"JE","COKI",46,1,3,29,82,5,12,859,30,0,0,5,1982-03-29,0,512,"Heard","Rota"
2,"JE","COKI",150,2,3,29,82,5,12,859,30,0,0,5,1982-03-29,0,512,"Seen","Rota"
2,"JE","COKI",60,2,3,29,82,5,13,920,40,0,0,5,1982-03-29,0,513,"Seen","Rota"
2,"TA","COKI",65,1,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"Heard","Rota"
2,"TA","COKI",65,4,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"H&S","Rota"
2,"TA","COKI",75,1,3,29,82,5,2,635,10,0,0,1,1982-03-29,0,502,"Heard","Rota"
