"Dhat","inCI","Layout","GType"
19.2572394350371,TRUE,"structured","HalfNorm"
23.9990576927675,TRUE,"random","HalfNorm"
21.5114248718,TRUE,"transect","HalfNorm"
15.0030463788111,TRUE,"structured","Emperical"
14.3239745693441,TRUE,"random","Emperical"
17.1195688497892,TRUE,"transect","Emperical"
22.1744651854571,TRUE,"structured","HalfNorm"
19.0521526952318,TRUE,"random","HalfNorm"
21.7372991956611,TRUE,"transect","HalfNorm"
19.1999178194432,TRUE,"structured","Emperical"
21.4424480411159,TRUE,"random","Emperical"
12.1258342505488,TRUE,"transect","Emperical"
17.7639129045487,TRUE,"structured","HalfNorm"
15.7789786887891,TRUE,"random","HalfNorm"
15.9806365866609,TRUE,"transect","HalfNorm"
12.3955417067364,TRUE,"structured","Emperical"
11.0523277535094,FALSE,"random","Emperical"
15.3858280687404,TRUE,"transect","Emperical"
16.2327639768168,TRUE,"structured","HalfNorm"
15.2859242275928,TRUE,"random","HalfNorm"
22.1937130586007,TRUE,"transect","HalfNorm"
14.7217303454743,TRUE,"structured","Emperical"
11.6156543546846,FALSE,"random","Emperical"
14.1322224393894,TRUE,"transect","Emperical"
18.5234346284622,TRUE,"structured","HalfNorm"
11.1419007958099,TRUE,"random","HalfNorm"
24.7122676894011,TRUE,"transect","HalfNorm"
14.2836080385149,TRUE,"structured","Emperical"
8.17707598200545,FALSE,"random","Emperical"
20.911620795917,TRUE,"transect","Emperical"
15.1253171766482,TRUE,"structured","HalfNorm"
8.64597740094992,FALSE,"random","HalfNorm"
15.7503567444403,TRUE,"transect","HalfNorm"
9.9922615869779,FALSE,"structured","Emperical"
8.1195622803603,FALSE,"random","Emperical"
8.93575245523486,FALSE,"transect","Emperical"
20.6857514305398,TRUE,"structured","HalfNorm"
12.8852549780025,TRUE,"random","HalfNorm"
12.6695801904359,TRUE,"transect","HalfNorm"
9.41615293743292,FALSE,"structured","Emperical"
13.5011673383513,TRUE,"random","Emperical"
12.6909275393643,TRUE,"transect","Emperical"
