Dhat,inCI,Layout,GType
16.52856229,TRUE,structured,HalfNorm
18.10488789,TRUE,random,HalfNorm
21.39530426,TRUE,transect,HalfNorm
14.33955109,TRUE,structured,Empirical
11.48012671,FALSE,random,Empirical
18.51968032,TRUE,transect,Empirical
14.13201426,TRUE,structured,HalfNorm
19.45651346,TRUE,random,HalfNorm
16.58670742,TRUE,transect,HalfNorm
10.25110303,FALSE,structured,Empirical
14.50478011,TRUE,random,Empirical
14.9806997,TRUE,transect,Empirical
15.42000976,TRUE,structured,HalfNorm
26.10870597,TRUE,random,HalfNorm
20.80308396,TRUE,transect,HalfNorm
10.03599873,FALSE,structured,Empirical
15.80767262,TRUE,random,Empirical
19.50889653,TRUE,transect,Empirical
14.58915229,TRUE,structured,HalfNorm
16.18560853,TRUE,random,HalfNorm
30.59741196,FALSE,transect,HalfNorm
14.28994749,TRUE,structured,Empirical
17.28871261,TRUE,random,Empirical
23.4539126,TRUE,transect,Empirical
18.01381896,TRUE,structured,HalfNorm
9.558550325,FALSE,random,HalfNorm
15.46865671,TRUE,transect,HalfNorm
12.91828328,TRUE,structured,Empirical
8.383120044,FALSE,random,Empirical
16.02678294,TRUE,transect,Empirical
18.86192796,TRUE,structured,HalfNorm
17.86487272,TRUE,random,HalfNorm
18.63703669,TRUE,transect,HalfNorm
14.43150057,TRUE,structured,Empirical
12.67750972,TRUE,random,Empirical
17.69784897,TRUE,transect,Empirical
24.81515197,TRUE,structured,HalfNorm
13.85796599,TRUE,random,HalfNorm
14.01388215,TRUE,transect,HalfNorm
18.41179538,TRUE,structured,Empirical
11.30836362,FALSE,random,Empirical
12.71223145,TRUE,transect,Empirical
25.32448963,TRUE,structured,HalfNorm
16.68028875,TRUE,random,HalfNorm
18.82627628,TRUE,transect,HalfNorm
19.00017007,TRUE,structured,Empirical
9.384084953,FALSE,random,Empirical
11.74669031,FALSE,transect,Empirical
17.71660024,TRUE,structured,HalfNorm
23.00226816,TRUE,random,HalfNorm
15.78203157,TRUE,transect,HalfNorm
16.58558332,TRUE,structured,Empirical
19.05932812,TRUE,random,Empirical
13.48373733,TRUE,transect,Empirical
22.09359264,TRUE,structured,HalfNorm
26.85351785,TRUE,random,HalfNorm
25.1125246,TRUE,transect,HalfNorm
11.92343133,FALSE,structured,Empirical
18.22333022,TRUE,random,Empirical
21.67807899,TRUE,transect,Empirical
24.31956993,TRUE,structured,HalfNorm
21.23931098,TRUE,random,HalfNorm
17.54725828,TRUE,transect,HalfNorm
14.99750015,TRUE,structured,Empirical
18.405159,TRUE,random,Empirical
15.80348239,TRUE,transect,Empirical
11.62223478,TRUE,structured,HalfNorm
19.67467111,TRUE,random,HalfNorm
14.70803185,TRUE,transect,HalfNorm
14.11634796,TRUE,structured,Empirical
13.04865758,TRUE,random,Empirical
13.45743021,TRUE,transect,Empirical
15.66882679,TRUE,structured,HalfNorm
15.59054744,TRUE,random,HalfNorm
20.41837405,TRUE,transect,HalfNorm
11.09233547,FALSE,structured,Empirical
13.86148781,TRUE,random,Empirical
16.6669136,TRUE,transect,Empirical
21.71799785,TRUE,structured,HalfNorm
11.11735974,FALSE,random,HalfNorm
24.61831107,TRUE,transect,HalfNorm
17.23268753,TRUE,structured,Empirical
7.158171565,FALSE,random,Empirical
19.29766103,TRUE,transect,Empirical
20.40763734,TRUE,structured,HalfNorm
11.37780652,TRUE,random,HalfNorm
12.14708997,TRUE,transect,HalfNorm
17.91437621,TRUE,structured,Empirical
8.790944897,FALSE,random,Empirical
11.03624886,FALSE,transect,Empirical
22.73400199,TRUE,structured,HalfNorm
6.272238624,FALSE,random,HalfNorm
17.71891264,TRUE,transect,HalfNorm
20.91066635,TRUE,structured,Empirical
11.14402137,FALSE,random,Empirical
8.825627065,FALSE,transect,Empirical
20.85368961,TRUE,structured,HalfNorm
20.14166654,TRUE,random,HalfNorm
24.49522608,TRUE,transect,HalfNorm
13.24422555,TRUE,structured,Empirical
15.72279674,TRUE,random,Empirical
17.15910848,TRUE,transect,Empirical
16.36523691,TRUE,structured,HalfNorm
12.8908,TRUE,random,HalfNorm
12.22006225,FALSE,transect,HalfNorm
14.98060353,TRUE,structured,Empirical
15.17259949,TRUE,random,Empirical
9.228541957,FALSE,transect,Empirical
20.96876451,TRUE,structured,HalfNorm
14.02467867,TRUE,random,HalfNorm
14.10589548,TRUE,transect,HalfNorm
13.95722972,TRUE,structured,Empirical
14.97457888,TRUE,random,Empirical
13.64007121,TRUE,transect,Empirical
14.45208152,TRUE,structured,HalfNorm
18.14919545,TRUE,random,HalfNorm
22.31051119,TRUE,transect,HalfNorm
9.545349881,FALSE,structured,Empirical
18.0219891,TRUE,random,Empirical
14.61564168,TRUE,transect,Empirical
18.04397677,TRUE,structured,HalfNorm
18.33787827,TRUE,random,HalfNorm
32.21208416,FALSE,transect,HalfNorm
14.98633042,TRUE,structured,Empirical
15.51696319,TRUE,random,Empirical
22.00878889,TRUE,transect,Empirical
17.38204988,TRUE,structured,HalfNorm
17.09954343,TRUE,random,HalfNorm
22.09575955,TRUE,transect,HalfNorm
16.44826482,TRUE,structured,Empirical
12.48683061,FALSE,random,Empirical
20.70656202,TRUE,transect,Empirical
22.68435092,TRUE,structured,HalfNorm
24.36944081,TRUE,random,HalfNorm
31.25439462,FALSE,transect,HalfNorm
18.69855583,TRUE,structured,Empirical
19.01549338,TRUE,random,Empirical
26.04551886,TRUE,transect,Empirical
18.19885294,TRUE,structured,HalfNorm
11.8523661,FALSE,random,HalfNorm
